Ticker,ESG Score,Governance Score,Environment Score,Social Score,ESG Score Date,ESG Status,CEO Full Name,CEO Gender,CEO Status,Year
MNST,28.03,5.03,12.43,10.58,01/08/2022,success,"Mr. Rodney Cyril Sacks H.Dip.Law, H.Dip.Tax",male,success,22
MCO,10.5,5.25,0.02,5.23,01/01/2023,success,Mr. Robert Scott Fauber,male,success,23
MS,22.22,9.73,0.72,11.76,01/08/2022,success,Mr. James Patrick Gorman,male,success,22
MOS,34.06,8.66,14.35,11.05,01/01/2023,success,Mr. James C. O'Rourke P.Eng.,male,success,23
MSI,14.31,5.39,2.21,6.7,01/01/2023,success,Mr. Gregory Q. Brown,male,success,23
MSCI,16.01,7.59,1.65,6.77,01/01/2023,success,Mr. Henry A. Fernandez,male,success,23
NDAQ,11.65,5.28,1.81,4.56,01/01/2023,success,Ms. Adena T. Friedman,female,success,23
NTAP,15.49,5.98,2.58,6.93,01/01/2023,success,Mr. George  Kurian,male,success,23
NFLX,16.25,9.34,0.09,6.83,01/08/2022,success,Mr. Theodore A. Sarandos,male,success,22
NEM,20.33,5.16,6.92,8.24,01/01/2023,success,Mr. Thomas Ronald Palmer,male,success,23
NWSA,11.61,7.02,0.02,4.58,01/01/2023,success,Mr. Robert J. Thomson,male,success,23
NEE,27.53,5.83,14.05,7.64,01/08/2022,success,Mr. John W. Ketchum,male,success,22
NKE,16.95,6.92,3.04,6.99,01/08/2022,success,Mr. John J. Donahoe II,male,success,22
NI,29.51,5.18,14.08,10.25,01/01/2023,success,Mr. Lloyd M. Yates,male,success,23
NDSN,26.66,5.59,9.26,11.8,01/01/2023,success,Mr. Sundaram  Nagarajan,male,success,23
NSC,22.73,3.32,8.05,11.36,01/08/2022,success,Mr. Alan H. Shaw,male,success,22
NTRS,23.86,10.17,1.87,11.83,01/01/2023,success,Mr. Michael Gerard O'Grady,male,success,23
NOC,27.4,5.05,7.47,14.87,01/08/2022,success,Ms. Kathy J. Warden,female,success,22
NCLH,26.22,4.12,11.98,10.12,01/01/2023,success,Mr. Harry J. Sommer,male,success,23
NRG,32.16,5.67,17.08,9.42,01/01/2023,success,Mr. Mauricio  Gutierrez,male,success,23
NUE,31.94,8.95,9.66,13.33,01/01/2023,success,Mr. Leon J. Topalian,male,success,23
NVDA,13.45,6.03,2.26,5.16,01/08/2022,success,Mr. Jen-Hsun  Huang,male,success,22
NVR,20.33,5.3,7.21,7.82,01/01/2023,success,Mr. Eugene James Bredow,male,success,23
NXPI,21.6,5.55,8.67,7.39,01/08/2022,success,Mr. Kurt  Sievers,male,success,22
ORLY,13.03,3.98,0.16,8.89,01/08/2022,success,Mr. Gregory D. Johnson,male,success,22
OXY,43.23,6.59,24.61,12.04,01/08/2022,success,Ms. Vicki A. Hollub,female,success,22
OMC,16.3,6.88,0.09,9.33,01/01/2023,success,Mr. John D. Wren,male,success,23
ON,26.59,5.42,14.8,6.36,01/01/2023,success,Mr. Hassane S. El-Khoury,male,success,23
OKE,26.1,3.31,11.78,11.01,01/01/2023,success,Mr. Pierce H. Norton II,male,success,23
ORCL,13.92,5.69,0.52,7.71,01/08/2022,success,Ms. Safra Ada Catz,female,success,22
PCAR,27.77,8.42,8.36,10.99,01/01/2023,success,Mr. R. Preston Feight,male,success,23
PKG,16.75,3.76,11.65,1.35,01/01/2023,success,Mr. Mark W. Kowlzan,male,success,23
PANW,13.92,5.6,0.7,7.62,01/01/2023,success,Mr. Nikesh  Arora C.F.A.,male,success,23
PH,29.13,6.24,9.2,13.68,01/01/2023,success,Ms. Jennifer A. Parmentier,female,success,23
PAYX,17.48,6.51,1.17,9.81,01/01/2023,success,Mr. John B. Gibson Jr.,male,success,23
PYPL,15.99,5.36,0.71,9.92,01/08/2022,success,Mr. James Alexander Chriss,male,success,22
PNR,22.74,6.07,6.66,10.01,01/01/2023,success,Mr. John L. Stauch,male,success,23
PEP,15.94,4.48,4.91,6.55,01/08/2022,success,Mr. Ramon Luis Laguarta,male,success,22
PFE,25.34,9.66,2.83,12.85,01/08/2022,success,"Dr. Albert  Bourla D.V.M., Ph.D.",male,Manually added gender,22
PCG,35.26,6.2,8.41,20.65,01/08/2022,success,Ms. Patricia Kessler Poppe,female,success,22
PM,23.79,9.49,3.57,10.73,01/08/2022,success,Mr. Jacek  Olczak,male,success,22
PSX,29.35,5.96,16.39,7.0,01/08/2022,success,Mr. Mark E. Lashier,male,success,22
PNW,31.06,5.97,14.86,10.23,01/01/2023,success,Mr. Jeffrey B. Guldner,male,success,23
PXD,36.74,9.1,18.67,8.97,01/08/2022,success,Mr. Scott Douglas Sheffield,male,success,22
PNC,22.34,8.86,1.73,11.75,01/08/2022,success,Mr. William S. Demchak,male,success,22
PPG,24.33,7.32,9.32,7.69,01/08/2022,success,Mr. Timothy M. Knavish,male,success,22
PPL,33.84,5.81,19.71,8.31,01/08/2022,success,Mr. Vincent  Sorgi,male,success,22
PFG,17.22,9.88,0.68,6.65,01/01/2023,success,Mr. Daniel Joseph Houston,male,success,23
PG,26.61,7.47,9.54,9.6,01/08/2022,success,Mr. Jon R. Moeller,male,success,22
PGR,20.87,10.85,1.67,8.36,01/01/2023,success,Ms. Susan Patricia Griffith,female,success,23
PLD,8.51,4.27,2.5,1.74,01/08/2022,success,Mr. Hamid R. Moghadam,male,success,22
PRU,16.21,8.6,1.03,6.57,01/08/2022,success,Mr. Charles Frederick Lowrey Jr.,male,success,22
PEG,26.31,5.46,11.56,9.28,01/01/2023,success,Mr. Ralph A. LaRossa,male,success,23
PTC,18.93,5.4,4.92,8.61,01/01/2023,success,Mr. James E. Heppelmann,male,success,23
PSA,12.3,5.24,4.51,2.55,01/08/2022,success,Mr. Joseph D. Russell Jr.,male,success,22
PHM,20.87,4.86,8.73,7.28,01/01/2023,success,Mr. Ryan R. Marshall,male,success,23
QRVO,29.08,7.46,13.12,8.5,01/01/2023,success,Mr. Robert A. Bruggeworth,male,success,23
PWR,37.18,9.05,12.4,15.73,01/01/2023,success,Mr. Earl C. Austin Jr.,male,success,23
QCOM,16.59,7.71,4.83,4.05,01/08/2022,success,Mr. Cristiano Renno Amon,male,success,22
DGX,20.98,8.18,0.13,12.67,01/01/2023,success,Mr. James E. Davis,male,success,23
RL,13.21,5.28,1.14,6.79,01/01/2023,success,Mr. Patrice Jean Louis Louvet,male,success,23
RJF,23.99,12.43,1.18,10.38,01/01/2023,success,Mr. Paul Christopher Reilly,male,success,23
O,15.47,5.74,4.41,5.32,01/01/2023,success,Mr. Sumit  Roy,male,success,23
REG,10.88,4.45,3.56,2.86,01/01/2023,success,Ms. Lisa  Palmer,female,success,23
REGN,18.15,7.03,0.38,10.75,01/08/2022,success,"Dr. Leonard S. Schleifer M.D., Ph.D.",male,Manually added gender,22
RF,16.08,7.44,1.6,7.03,01/01/2023,success,Mr. John M. Turner Jr.,male,success,23
RSG,20.98,3.66,11.3,6.02,01/01/2023,success,Mr. Jon  Vander Ark,male,success,23
RMD,26.41,10.63,3.36,12.41,01/01/2023,success,"Mr. Michael J. Farrell BE, MBA, SM",male,success,23
RHI,10.93,3.46,0.1,7.37,01/01/2023,success,Mr. M. Keith Waddell,male,success,23
ROK,17.67,5.65,5.37,6.64,01/01/2023,success,Mr. Blake D. Moret,male,success,23
ROL,20.28,7.34,1.76,11.18,01/01/2023,success,Mr. Jerry E. Gahlhoff Jr.,male,success,23
ROP,22.9,5.56,4.62,12.71,01/01/2023,success,Mr. Laurence Neil Hunn,male,success,23
ROST,15.93,5.68,1.8,8.45,01/08/2022,success,Ms. Barbara  Rentler,female,success,22
RCL,20.97,3.79,9.14,8.04,01/01/2023,success,Mr. Jason T. Liberty,male,success,23
SPGI,14.31,8.15,0.0,6.16,01/08/2022,success,Mr. Douglas L. Peterson M.B.A.,male,success,22
CRM,13.18,4.46,2.34,6.39,01/08/2022,success,Mr. Marc R. Benioff,male,success,22
SBAC,11.58,5.23,3.11,3.23,01/01/2023,success,Mr. Jeffrey A. Stoops,male,success,23
SLB,21.93,5.76,7.41,8.76,01/08/2022,success,Mr. Olivier  Le Peuch,male,success,22
SEE,20.57,3.23,15.83,1.52,01/01/2023,success,Mr. Emile Z. Chammas,male,success,23
SRE,24.72,5.5,12.09,7.14,01/08/2022,success,Mr. Jeffrey Walker Martin,male,success,22
NOW,16.05,6.26,1.41,8.39,01/01/2023,success,Mr. William R. McDermott,male,success,23
SHW,28.63,6.72,12.93,8.99,01/08/2022,success,Mr. John G. Morikis,male,success,22
SPG,14.21,6.38,3.83,3.99,01/08/2022,success,Mr. David E. Simon,male,success,22
SWKS,27.76,7.21,11.63,8.93,01/01/2023,success,Mr. Liam K. Griffin,male,success,23
SJM,30.97,6.16,12.36,12.44,01/01/2023,success,Mr. Mark T. Smucker,male,success,23
SNA,30.83,7.59,9.33,13.91,01/01/2023,success,Mr. Nicholas T. Pinchuk,male,success,23
SO,33.09,7.3,14.79,11.0,01/08/2022,success,Mr. Christopher C. Womack,male,success,22
LUV,32.39,6.21,11.29,14.89,01/08/2022,success,Mr. Robert E. Jordan,male,success,22
SWK,25.93,7.59,5.83,12.51,01/01/2023,success,Mr. Donald  Allan Jr.,male,success,23
SBUX,24.83,4.21,6.11,14.5,01/08/2022,success,Mr. Laxman  Narasimhan,male,success,22
STT,22.27,9.11,1.96,11.2,01/08/2022,success,Mr. Ronald Philip O'Hanley,male,success,22
STLD,32.39,8.21,9.82,14.36,01/01/2023,success,Mr. Mark D. Millett,male,success,23
SYK,28.52,10.84,3.72,13.96,01/08/2022,success,Mr. Kevin A. Lobo,male,success,22
SYF,17.22,7.19,0.13,9.89,01/08/2022,success,Mr. Brian D. Doubles,male,success,22
SNPS,13.45,4.07,3.18,6.2,01/01/2023,success,Dr. Aart J. de Geus,male,Manually added gender,23
SYY,12.06,4.57,2.79,4.7,01/08/2022,success,Mr. Kevin P. Hourican,male,success,22
TMUS,26.07,7.69,5.03,13.35,01/08/2022,success,Mr. G. Michael Sievert,male,success,22
TROW,17.05,5.39,2.36,9.3,01/01/2023,success,"Mr. Robert W. Sharps C.F.A., CPA",male,success,23
TPR,13.33,4.91,1.23,7.2,01/01/2023,success,Ms. Joanne C. Crevoiserat,female,success,23
TRGP,33.98,4.13,15.33,14.52,01/01/2023,success,Mr. Matthew J. Meloy,male,success,23
TGT,14.72,5.06,2.04,7.63,01/08/2022,success,Mr. Brian C. Cornell,male,success,22
TEL,15.93,4.64,6.42,4.87,01/08/2022,success,Mr. Terrence R. Curtin CPA,male,success,22
TFX,29.63,8.67,4.83,16.12,01/01/2023,success,Mr. Liam J. Kelly,male,success,23
TER,15.86,4.64,6.27,4.95,01/01/2023,success,Mr. Gregory S. Smith,male,success,23
TSLA,28.54,9.61,2.78,16.16,01/08/2022,success,Mr. Elon R. Musk,male,success,22
TXN,19.93,6.03,8.84,5.06,01/08/2022,success,Mr. Haviv  Ilan,male,success,22
TXT,33.81,6.53,11.05,16.23,01/01/2023,success,Mr. Scott C. Donnelly,male,success,23
TMO,13.52,6.46,1.47,5.6,01/08/2022,success,Mr. Marc N. Casper,male,success,22
TJX,14.43,5.12,1.89,7.42,01/08/2022,success,Mr. Ernie L. Herrman,male,success,22
TSCO,13.96,4.14,3.04,6.78,01/01/2023,success,Mr. Harry A. Lawton III,male,success,23
TT,16.12,5.16,7.11,3.84,01/01/2023,success,Mr. David S. Regnery,male,success,23
TDG,39.09,8.4,12.84,17.85,01/01/2023,success,Dr. Kevin M. Stein Ph.D.,male,Manually added gender,23
TRV,20.52,10.08,0.99,9.45,01/08/2022,success,Mr. Alan David Schnitzer,male,success,22
TRMB,12.98,6.09,3.17,3.72,01/01/2023,success,Mr. Robert G. Painter,male,success,23
TSN,36.67,9.97,14.31,12.39,01/01/2023,success,Mr. Donnie D. King,male,success,23
UDR,12.36,5.21,3.15,4.0,01/01/2023,success,Mr. Thomas W. Toomey,male,success,23
ULTA,15.33,4.29,3.83,7.2,01/01/2023,success,Mr. David C. Kimbell,male,success,23
UNP,25.26,3.69,9.43,12.14,01/08/2022,success,Mr. Vincenzo James Vena,male,success,22
UAL,28.81,4.96,10.9,12.95,01/01/2023,success,Mr. J. Scott Kirby,male,success,23
UPS,19.5,5.38,4.58,9.55,01/08/2022,success,Ms. Carol B. Tome,female,success,22
URI,18.45,5.99,5.89,6.57,01/01/2023,success,Mr. Matthew J. Flannery,male,success,23
UNH,17.54,5.89,0.03,11.62,01/08/2022,success,Sir Andrew Philip Witty,male,Manually added gender,22
UHS,32.98,8.6,3.7,20.68,01/01/2023,success,Mr. Marc D. Miller,male,success,23
VLO,30.05,4.65,18.18,7.23,01/08/2022,success,Mr. R. Lane Riggs,male,success,22
VTR,12.75,5.73,2.75,4.28,01/01/2023,success,Ms. Debra A. Cafaro,female,success,23
VRSN,21.44,5.93,4.74,10.77,01/01/2023,success,Mr. D. James Bidzos,male,success,23
VRSK,19.3,5.7,0.11,13.5,01/01/2023,success,Mr. Lee M. Shavel,male,success,23
VZ,18.48,5.69,3.88,8.92,01/08/2022,success,Mr. Hans E. Vestberg,male,success,22
VRTX,22.82,6.67,0.75,15.4,01/01/2023,success,"Dr. Reshma  Kewalramani FASN, M.D.",female,Manually added gender,23
VFC,12.89,5.07,0.9,6.91,01/01/2023,success,Mr. Bracken P. Darrell,male,success,23
V,16.07,7.52,0.71,7.84,01/08/2022,success,Mr. Ryan M. McInerney,male,success,22
VMC,29.02,8.85,15.61,4.56,01/01/2023,success,Mr. James Thomas Hill,male,success,23
WAB,23.25,7.04,4.52,11.69,01/01/2023,success,Mr. Rafael O. Santana,male,success,23
WBA,18.29,4.73,2.03,11.52,01/08/2022,success,Mr. Timothy C. Wentworth,male,success,22
WMT,24.63,6.31,4.4,13.92,01/08/2022,success,Mr. C. Douglas McMillon,male,success,22
WM,16.73,3.28,8.22,5.24,01/08/2022,success,Mr. James C. Fish Jr.,male,success,22
WAT,17.01,6.24,1.37,9.4,01/01/2023,success,Dr. Udit  Batra Ph.D.,male,Manually added gender,23
WEC,27.36,5.27,14.68,7.4,01/01/2023,success,Mr. Scott J. Lauber,male,success,23
WFC,32.84,15.51,1.94,15.4,01/08/2022,success,Mr. Charles W. Scharf,male,success,22
WELL,12.01,4.92,3.87,3.22,01/01/2023,success,Mr. Shankh S. Mitra,male,success,23
WDC,11.43,6.05,1.48,3.91,01/01/2023,success,Mr. David V. Goeckeler,male,success,23
WY,17.56,3.78,10.48,3.29,01/08/2022,success,"Mr. Devin W. Stockfish Esq., J.D.",male,success,22
WHR,15.8,3.96,4.76,7.08,01/01/2023,success,Mr. Marc Robert Bitzer,male,success,23
WMB,23.5,3.08,9.98,10.43,01/01/2023,success,Mr. Alan S. Armstrong,male,success,23
WTW,18.61,9.79,0.13,8.68,01/01/2023,success,"Mr. Carl A. Hess CERA, F.S.A.",male,success,23
GWW,14.6,5.72,3.41,5.48,01/01/2023,success,Mr. Donald G. Macpherson,male,success,23
WYNN,26.49,10.96,3.55,11.98,01/01/2023,success,Mr. Craig Scott Billings,male,success,23
XEL,23.8,4.18,12.87,6.75,01/01/2023,success,Mr. Robert C. Frenzel,male,success,23
XYL,16.04,5.08,3.56,7.4,01/01/2023,success,Mr. Patrick K. Decker,male,success,23
YUM,20.55,4.44,4.46,11.65,01/08/2022,success,Mr. David W. Gibbs,male,success,22
ZBH,27.3,8.24,4.46,14.6,01/01/2023,success,Mr. Ivan  Tornos,male,success,23
ZTS,18.47,8.95,1.38,8.15,01/08/2022,success,Ms. Kristin C. Peck,female,success,22
